要素,旬,平年降水量(mm),平年平均気温(℃),平年日最高気温(℃),平年日最低気温(℃),平年平均風速(m/s),平年日照時間(h),平年降雪深合計(cm),平年最深積雪(cm)
統計期間,統計期間,2003～ 2020,2003～ 2020,2003～ 2020,2003～ 2020,2003～ 2020,///,///,///
資料年数,資料年数,18,18,18,18,18,0,0,0
1月,上旬,20.8,18.6,21.0,16.4,4.4,///,///,///
1月,中旬,26.8,18.4,20.9,16.3,4.6,///,///,///
1月,下旬,26.6,18.1,20.5,15.9,4.7,///,///,///
2月,上旬,36.4,18.0,20.5,15.8,4.6,///,///,///
2月,中旬,15.0,18.6,21.1,16.3,4.6,///,///,///
2月,下旬,22.3,19.5,22.1,17.5,4.5,///,///,///
3月,上旬,26.8,19.1,21.8,16.9,4.7,///,///,///
3月,中旬,19.0,19.4,22.1,17.3,4.4,///,///,///
3月,下旬,23.9,20.0,22.7,17.9,4.6,///,///,///
4月,上旬,26.4,20.7,23.6,18.5,4.4,///,///,///
4月,中旬,37.6,21.7,24.4,19.6,4.2,///,///,///
4月,下旬,38.7,22.2,24.8,20.2,4.4,///,///,///
5月,上旬,33.6,23.6,26.3,21.6,3.9,///,///,///
5月,中旬,55.1,24.4,27.0,22.5,3.8,///,///,///
5月,下旬,121.7,24.7,27.3,22.8,4.0,///,///,///
6月,上旬,87.6,25.9,28.5,24.0,4.3,///,///,///
6月,中旬,100.1,26.9,29.5,25.1,4.6,///,///,///
6月,下旬,18.6,28.2,31.1,26.3,4.1,///,///,///
7月,上旬,31.2,28.8,31.7,26.7,3.9,///,///,///
7月,中旬,45.0,28.7,31.3,26.7,3.9,///,///,///
7月,下旬,22.4,29.0,31.7,26.8,3.4,///,///,///
8月,上旬,53.7,28.9,31.4,26.8,4.6,///,///,///
8月,中旬,24.8,29.0,31.7,26.9,3.5,///,///,///
8月,下旬,42.9,28.9,31.5,26.8,4.0,///,///,///
9月,上旬,73.5,28.4,31.1,26.2,4.1,///,///,///
9月,中旬,53.4,28.4,31.0,26.2,4.0,///,///,///
9月,下旬,23.2,28.0,30.6,25.9,4.0,///,///,///
10月,上旬,64.6,27.3,29.9,25.4,4.8,///,///,///
10月,中旬,57.9,26.3,28.8,24.3,5.1,///,///,///
10月,下旬,58.5,25.3,27.9,23.4,4.9,///,///,///
11月,上旬,30.7,24.6,27.0,22.8,4.5,///,///,///
11月,中旬,37.7,23.3,25.7,21.4,4.8,///,///,///
11月,下旬,48.5,22.5,24.8,20.8,5.0,///,///,///
12月,上旬,46.1,21.1,23.3,19.3,5.3,///,///,///
12月,中旬,33.6,19.9,22.2,17.9,5.0,///,///,///
12月,下旬,40.5,19.2,21.6,17.0,4.8,///,///,///
