月,月平均現地気圧(hPa),月平均海面気圧(hPa),月合計降水量(mm),月間最大日降水量(mm),月間最大1時間降水量(mm),月間最大10分間降水量(mm),月間平均日平均気温(℃),月間平均日最高気温(℃),月間平均日最低気温(℃),月間最高気温(℃),月間最低気温(℃),月間平均湿度(％),月間最小湿度(％),月間平均風速(m/s),月間最大風速(m/s),月間最大風向(16方位),月間最大瞬間風速(m/s),月間最大瞬間風向(16方位),月間日照時間(h),月間全天日射量(MJ/㎡),月間降雪の深さ合計(cm),月間最大日降雪の深さ(cm),月最深積雪(cm),月平均雲量,月雪日数,月霧日数,月雷日数
1,1017.1,1019.5,103.0,33.5,19.5,10.0,17.8,20.7,14.4,23.1,9.7,66,40,4.7,11.7,南南東,18.3,南南西,103.0,9.9,,,,,0 ),1 ),1 )
2,1018.4,1020.9,69.0,42.5,11.0,4.5,16.9,19.9,14.0,24.2,8.9,69,40,4.4,12.6,北西,21.2,北北西,80.1,10.7,,,,,0,0,0 )
3,1015.3,1017.7,134.5,96.5,37.0,13.5,19.5,23.0,16.2,27.2,7.1,79,38,3.9,9.9,北北東,18.2,北北西,164.5,15.5,,,,,0 ),3 ),1 )
4,1011.3,1013.7,221.0,74.0,41.5,15.5,20.8,24.1,17.3,27.7,11.7,79,42,3.6,12.4,北北東,21.1,北北東,169.5,17.7,,,,,0 ),3 ),0 )
5,1010.3,1012.6,439.5,77.0,46.0,19.0,24.5,27.1,21.9,31.0,13.4,89,55,4.0,10.2,北西,18.2,北,140.5,16.9,,,,,0 ),2 ),5
6,1009.1,1011.4,62.5,26.0,7.5,2.5,27.4,30.7,24.6,33.4,17.9,87,48,2.9,9.3,南,13.7,南南西,272.0,23.2,,,,,0 ),2 ),3 )
7,1003.5,1005.8,939.0,312.5,64.5,19.5,28.1,30.6,25.7,32.3,24.0,88,56,4.5,13.3,東,26.2,東,144.0,14.7,,,,,0 ),0 ),11
8,1009.3,1011.7,63.0,12.0,10.0,4.5,28.7,31.8,25.9,32.7,23.6,86,58,3.3,8.6,東北東,15.3,東北東,275.7,23.0,,,,,0 ],0 ],4 )
9,1010.7,1013.0,57.0,34.0,24.5,9.5,28.7,32.3,25.4,33.1,22.5,81,52,3.0,7.9,東,12.8,南,268.0,20.7,,,,,0 ),0 ),1
10,1011.1,1013.4,170.5,70.0,29.5,11.5,27.7,30.9,24.9,33.1,22.0,80,48,3.9,19.5,南南西,28.2,南西,196.6,14.9,,,,,0 ),0 ),3
11,1014.2,1016.6,123.5,38.0,13.5,4.0,23.6,26.5,20.5,29.8,13.7,75,46,4.4,10.1,北東,17.3,北東,131.0,11.1,,,,,0 ),0 ),2
12,1015.7,1018.2,50.5,11.5,7.5,3.5,20.6,23.6,17.0,26.3,10.6,71,37,4.1,9.5,北,18.7,北北西,125.7,10.0,,,,,0 ],0 ],0 )
