要素,平年降水量(mm),平年平均気温(℃),平年最高気温(℃),平年最低気温(℃),平年日照時間(h),平年全天日射量(MJ/㎡),平年平均雲量,平年降雪の深さ合計(cm),平年最深積雪(cm)
統計期間,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2016,1991～ 2020,1991～ 2020
資料年数,30,30,30,30,30,30,26,30,30
1日,5.6,28.6,31.7,25.9,8.0,21.5,6.3 @,---,---
2日,5.9,28.6,31.6,25.9,7.9,21.3,6.3 @,---,---
3日,6.2,28.6,31.6,25.9,7.8,21.2,6.4 @,---,---
4日,6.4,28.6,31.6,25.9,7.8,21.1,6.4 @,---,---
5日,6.5,28.6,31.6,25.9,7.7,21.0,6.5 @,---,---
6日,6.6,28.6,31.5,25.9,7.7,20.9,6.5 @,---,---
7日,6.7,28.6,31.5,25.9,7.7,21.0,6.5 @,---,---
8日,6.6,28.6,31.5,25.9,7.7,21.0,6.5 @,---,---
9日,6.5,28.6,31.5,25.9,7.8,21.1,6.4 @,---,---
10日,6.2,28.6,31.5,25.9,7.8,21.2,6.4 @,---,---
11日,5.9,28.6,31.6,26.0,7.9,21.3,6.3 @,---,---
12日,5.6,28.6,31.6,26.0,8.1,21.5,6.2 @,---,---
13日,5.2,28.6,31.6,26.0,8.2,21.6,6.1 @,---,---
14日,4.9,28.6,31.7,25.9,8.3,21.8,6.1 @,---,---
15日,4.6,28.6,31.7,25.9,8.4,21.9,6.0 @,---,---
16日,4.3,28.6,31.7,25.9,8.4,22.0,5.9 @,---,---
17日,4.1,28.6,31.7,25.9,8.5,22.0,5.9 @,---,---
18日,4.0,28.6,31.7,25.9,8.5,22.0,5.8 @,---,---
19日,3.8,28.6,31.8,25.9,8.5,22.0,5.8 @,---,---
20日,3.8,28.6,31.8,25.9,8.5,21.9,5.7 @,---,---
21日,3.7,28.6,31.7,25.8,8.4,21.8,5.7 @,---,---
22日,3.8,28.6,31.7,25.8,8.4,21.7,5.7 @,---,---
23日,3.8,28.6,31.7,25.8,8.3,21.6,5.7 @,---,---
24日,3.9,28.6,31.7,25.7,8.2,21.4,5.7 @,---,---
25日,4.0,28.5,31.7,25.7,8.2,21.3,5.7 @,---,---
26日,4.2,28.5,31.6,25.7,8.1,21.2,5.7 @,---,---
27日,4.4,28.5,31.6,25.7,8.0,21.0,5.8 @,---,---
28日,4.6,28.5,31.6,25.6,8.0,20.9,5.8 @,---,---
29日,4.9,28.5,31.6,25.6,7.9,20.8,5.8 @,---,---
30日,5.2,28.4,31.6,25.6,7.9,20.6,5.9 @,---,---
31日,5.5,28.4,31.5,25.6,7.8,20.5,5.9 @,---,---
