要素,平年現地気圧(hPa),平年海面気圧(hPa),平年降水量(mm),平年平均気温(℃),平年日最高気温(℃),平年日最低気温(℃),平年平均蒸気圧(hPa),平年平均相対湿度(％),平年平均風速(m/s),平年最多風向(16方位),平年日照時間(h),平年全天日射量(MJ/㎡),平年降雪の深さ合計(cm),平年最大日降雪の深さ(cm),平年最深積雪(cm),平年平均雲量,平年雪日数,平年霧日数,平年雷日数
統計期間,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2016,1991～ 2016,1991～ 2016,1991～ 2016
資料年数,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,26,26,26,26
1月,1016.9,1019.4,77.0,18.0,21.1,14.6,14.4,69,4.6,北,121.3,10.5,---,---,---,7.2 @,0.0 @,0.0 @,0.2 @
2月,1016.4,1018.9,79.9,18.1,21.2,14.8,15.0,71,4.6,北,120.3,12.5,---,---,---,7.0 @,0.0 @,0.2 @,0.4 @
3月,1014.8,1017.3,84.2,19.5,22.6,16.4,17.0,74,4.5,北,154.0,15.5,---,---,---,6.7 @,0.0 @,0.8 @,0.6 @
4月,1012.5,1014.9,113.6,21.6,24.6,18.8,20.5,78,4.5,東,152.8,17.4,---,---,---,7.2 @,0.0 @,1.4 @,1.7 @
5月,1009.2,1011.6,222.0,24.1,26.9,21.5,25.2,84,4.2,東北東,171.0,18.7,---,---,---,7.4 @,0.0 @,2.2 @,1.8 @
6月,1007.7,1010.0,199.6,26.9,29.6,24.8,31.0,87,4.3,南南西,219.3,21.3,---,---,---,7.2 @,0.0 @,1.4 @,2.6 @
7月,1007.2,1009.6,118.0,28.7,31.7,25.9,31.6,81,4.5,東南東,277.8,23.3,---,---,---,6.0 @,0.0 @,0.2 @,1.6 @
8月,1005.5,1007.8,151.1,28.6,31.6,25.9,31.5,81,4.6,東,249.3,21.3,---,---,---,6.1 @,0.0 @,0.1 @,2.1 @
9月,1006.9,1009.3,167.9,27.9,31.0,25.0,29.8,80,4.7,東,220.4,19.2,---,---,---,5.9 @,0.0 @,0.1 @,2.1 @
10月,1010.3,1012.7,180.5,25.9,28.8,23.0,25.9,77,4.8,北東,178.4,15.1,---,---,---,6.4 @,0.0 @,0.0 @,1.3 @
11月,1014.6,1017.0,120.9,23.1,25.8,20.4,21.0,74,4.8,北東,136.4,11.6,---,---,---,6.8 @,0.0 @,0.2 @,0.6 @
12月,1016.7,1019.2,124.7,19.7,22.6,16.6,16.4,70,4.7,北北東,120.8,9.7,---,---,---,6.8 @,0.0 @,0.1 @,0.3 @
年,1011.6,1014.0,1639.3,23.5,26.5,20.7,23.3,77,4.6,北東,2121.7,16.4,---,---,---,6.7 @,0.0 @,6.8 @,15.4 @
