月,旬,旬合計降水量(mm),旬間最大日降水量(mm),旬間最大1時間降水量(mm),旬間最大10分間降水量(mm),旬間平均日平均気温(℃),旬間平均日最高気温(℃),旬間平均日最低気温(℃),旬間最高日気温(℃),旬間最低日気温(℃),旬間平均湿度(％),旬間最小湿度(％),旬間平均風速(m/s),旬間最大風速(m/s),旬間最大風向(16方位),旬間最大瞬間風速(m/s),旬間最大瞬間風向(16方位),旬間日照時間(h),旬合計降雪深(cm),旬最大日降雪深(cm),旬最深積雪(cm)
1,上旬,25.5,19.0,5.0,2.0,17.4,20.4,14.3,22.0,12.5,///,///,4.7,11.8,北,15.9,北,///,///,///,///
1,中旬,48.5,28.0,23.0,10.0,19.1,21.7,16.6,23.4,12.3,///,///,3.8,9.1,北,12.9,北,///,///,///,///
1,下旬,11.5,6.0,5.5,3.5,17.1,20.3,13.9,22.7,12.3,///,///,4.8,11.4,北,15.9,北北東,///,///,///,///
2,上旬,7.5,7.0,7.0,5.5,17.1,20.0,13.8,23.1,10.5,///,///,4.4,12.1,北,17.5,北,///,///,///,///
2,中旬,18.5,14.0,12.5,5.5,18.8,22.2,16.0,24.2,13.4,///,///,3.1,8.1,北北西,12.3,北北西,///,///,///,///
2,下旬,3.5,2.0,1.5,0.5,20.8,23.8,18.6,24.8,13.5,///,///,3.2,10.6,北,13.9,北,///,///,///,///
3,上旬,6.0,4.0,1.5,1.0,19.8,22.8,17.9,24.0,14.9,///,///,4.9,9.8,北,13.9,西,///,///,///,///
3,中旬,13.5,11.0,7.5,3.5,18.7,21.9,15.7,24.4,12.3,///,///,4.5,13.0,北,18.5,北,///,///,///,///
3,下旬,0.0,0.0,0.0,0.0,21.4,24.5,19.4,26.0,17.1,///,///,3.7,9.7,南西,12.9,南,///,///,///,///
4,上旬,7.0,4.5,3.5,1.5,22.5,25.6,20.6,27.8,18.8,///,///,5.1,10.0,南西,14.9,南南西,///,///,///,///
4,中旬,1.5,1.5,1.5,0.5,23.6,26.9,21.8,28.5,19.9,///,///,3.3,7.4,南西,10.3,南西,///,///,///,///
4,下旬,50.5,49.0,28.0,15.5,23.0,26.3,19.9,29.1,16.3,///,///,3.3,12.1,西北西,17.0,北西,///,///,///,///
5,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
5,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
5,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
6,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
6,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
6,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
7,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
7,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
7,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
8,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
8,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
8,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
9,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
9,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
9,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
10,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
10,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
10,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
11,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
11,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
11,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
12,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
12,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
12,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
