要素,旬,平年海面気圧(hPa),平年降水量(mm),平年平均気温(℃),平年日最高気温(℃),平年日最低気温(℃),平年相対湿度(％),平年平均風速(m/s),平年日照時間(h),平年全天日射量(MJ/㎡),平年降雪の深さ合計(cm),平年最深積雪(cm),平年雲量
統計期間,統計期間,1991～  2020,1991～  2020,1991～  2020,1991～  2020,1991～  2020,1991～  2020,1991～  2020,1991～  2020,1991～  2020,1991～  2020,1991～  2020,1991～  2016
資料年数,資料年数,30,30,30,30,30,30,30,30,30,30,30,26
1月,上旬,1019.6,21.7,18.3,21.5,14.8,69,4.4,40.4,10.2,---,---,7.1 @
1月,中旬,1019.2,28.0,18.2,21.3,14.8,69,4.6,39.0,10.5,---,---,7.2 @
1月,下旬,1019.3,27.4,17.7,20.7,14.4,69,4.7,42.0,10.7,---,---,7.2 @
2月,上旬,1019.1,31.2,17.6,20.7,14.0,70,4.5,39.9,11.4,---,---,7.0 @
2月,中旬,1018.9,29.4,18.2,21.3,14.9,71,4.7,41.9,12.4,---,---,7.2 @
2月,下旬,1018.8,19.3,18.7,21.8,15.7,72,4.5,38.5,14.0,---,---,6.6 @
3月,上旬,1017.6,26.7,18.8,22.0,15.6,72,4.6,44.3,14.1,---,---,6.9 @
3月,中旬,1017.5,30.9,19.4,22.5,16.3,74,4.5,50.4,15.5,---,---,6.6 @
3月,下旬,1016.7,26.6,20.2,23.2,17.2,75,4.5,59.3,16.7,---,---,6.8 @
4月,上旬,1015.9,32.9,20.7,23.8,17.8,76,4.5,51.7,17.1,---,---,7.0 @
4月,中旬,1014.7,48.5,21.5,24.6,18.7,79,4.5,53.6,17.7,---,---,7.0 @
4月,下旬,1014.2,32.2,22.5,25.5,20.0,80,4.5,48.2,17.5,---,---,7.6 @
5月,上旬,1013.0,39.7,23.4,26.4,20.7,82,4.3,61.8,19.7,---,---,7.0 @
5月,中旬,1011.7,63.6,24.1,27.0,21.4,84,4.2,53.7,18.4,---,---,7.3 @
5月,下旬,1010.1,118.8,24.6,27.3,22.3,85,4.2,54.9,18.0,---,---,7.9 @
6月,上旬,1009.2,97.1,25.8,28.4,23.7,88,4.2,56.8,19.2,---,---,7.9 @
6月,中旬,1009.9,87.5,26.9,29.4,24.9,88,4.5,65.5,20.0,---,---,7.8 @
6月,下旬,1011.1,15.0,28.2,31.0,26.0,85,4.2,96.9,24.9,---,---,5.9 @
7月,上旬,1010.4,27.2,28.7,31.7,26.2,82,4.6,95.6,24.5,---,---,6.0 @
7月,中旬,1009.8,36.9,28.6,31.7,25.8,81,4.3,89.8,23.2,---,---,6.1 @
7月,下旬,1008.6,53.9,28.7,31.8,25.8,80,4.5,93.4,22.5,---,---,6.0 @
8月,上旬,1006.9,71.5,28.6,31.5,25.9,82,5.3,74.4,20.6,---,---,6.7 @
8月,中旬,1008.1,39.1,28.6,31.8,26.0,81,4.3,85.9,22.3,---,---,5.9 @
8月,下旬,1008.4,40.5,28.5,31.6,25.7,80,4.4,88.9,21.1,---,---,5.7 @
9月,上旬,1008.4,65.8,28.2,31.4,25.4,81,4.6,76.7,20.1,---,---,5.7 @
9月,中旬,1008.9,56.9,28.0,31.1,25.1,80,4.8,74.5,19.3,---,---,6.0 @
9月,下旬,1010.6,45.3,27.4,30.5,24.5,79,4.7,69.2,18.2,---,---,6.1 @
10月,上旬,1011.4,54.1,26.7,29.9,23.8,79,4.6,62.9,16.5,---,---,6.3 @
10月,中旬,1012.5,52.8,25.9,28.8,23.3,78,4.9,54.5,14.8,---,---,6.6 @
10月,下旬,1014.0,73.7,24.9,27.8,22.1,76,4.9,61.8,14.2,---,---,6.3 @
11月,上旬,1016.3,26.3,24.1,26.9,21.6,75,4.9,50.2,12.9,---,---,6.5 @
11月,中旬,1017.1,45.9,23.0,25.7,20.3,74,4.7,42.7,11.1,---,---,7.1 @
11月,下旬,1017.6,48.8,22.1,24.8,19.3,73,5.0,43.5,10.8,---,---,6.7 @
12月,上旬,1018.7,38.0,20.9,23.6,18.0,70,5.0,39.9,10.0,---,---,6.6 @
12月,中旬,1019.7,37.5,19.7,22.5,16.7,71,4.8,36.5,9.3,---,---,7.2 @
12月,下旬,1019.2,49.2,18.7,21.8,15.2,70,4.5,44.4,9.8,---,---,6.7 @
