要素,平年降水量(mm),平年平均気温(℃),平年日最高気温(℃),平年日最低気温(℃),平年平均風速(m/s),平年日照時間(h),平年降雪深合計(cm),平年最深積雪(cm)
統計期間,2003～ 2020,2003～ 2020,2003～ 2020,2003～ 2020,2003～ 2020,///,///,///
資料年数,18,18,18,18,18,0,0,0
1月,74.1,18.3,20.8,16.2,4.6,///,///,///
2月,73.7,18.7,21.2,16.5,4.6,///,///,///
3月,69.7,19.5,22.2,17.4,4.6,///,///,///
4月,102.7,21.5,24.3,19.5,4.3,///,///,///
5月,210.4,24.3,26.9,22.3,3.9,///,///,///
6月,206.3,27.0,29.7,25.1,4.3,///,///,///
7月,98.7,28.8,31.6,26.7,3.7,///,///,///
8月,121.4,28.9,31.6,26.8,4.0,///,///,///
9月,150.1,28.2,30.9,26.1,4.0,///,///,///
10月,181.0,26.3,28.8,24.3,4.9,///,///,///
11月,116.8,23.5,25.8,21.7,4.7,///,///,///
12月,120.2,20.1,22.3,18.0,5.0,///,///,///
年,1525.0,23.8,26.3,21.7,4.4,///,///,///
